epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,327.273,0.58748,0.46745,0.24779,0.00173,0.14712,0.9699,0.82106,0.90455,0.78076,0.9699,0.82106,0.90455,0.72778,0.76784,0.87553,0.75439,0.00327,0,0.000656,0.000656,0.000656
50,333.564,0.57465,0.47203,0.23183,0.00158,0.15188,0.99412,0.8301,0.90697,0.78307,0.99412,0.8301,0.90697,0.72273,0.75771,0.85274,0.74975,0.00331,0,0.000643625,0.000643625,0.000643625
51,339.843,0.56915,0.47268,0.24988,0.00168,0.14935,0.96971,0.87605,0.90813,0.76689,0.96971,0.87605,0.90813,0.7139,0.74404,0.89,0.8232,0.00332,0,0.00063125,0.00063125,0.00063125
52,346.09,0.55302,0.46017,0.2406,0.00187,0.14773,0.97044,0.86832,0.90267,0.77423,0.97044,0.86832,0.90267,0.7118,0.72531,0.91866,0.87417,0.00326,0,0.000618875,0.000618875,0.000618875
53,352.345,0.53144,0.44691,0.24329,0.00174,0.15116,0.94707,0.86631,0.90352,0.79514,0.94707,0.86631,0.90352,0.7176,0.68672,0.94452,0.86565,0.00277,0,0.0006065,0.0006065,0.0006065
54,358.598,0.52157,0.45119,0.21323,0.00158,0.12977,0.94589,0.85421,0.9062,0.78951,0.94589,0.85421,0.9062,0.7278,0.68494,0.94545,0.86209,0.00269,0,0.000594125,0.000594125,0.000594125
55,364.834,0.56124,0.4404,0.23522,0.00174,0.14914,0.91335,0.8875,0.90368,0.77841,0.91335,0.8875,0.90368,0.7135,0.75862,0.99106,0.84241,0.00296,0,0.00058175,0.00058175,0.00058175
56,371.138,0.5314,0.43084,0.23548,0.00173,0.13114,0.94564,0.86183,0.90248,0.77083,0.94564,0.86183,0.90248,0.71225,0.75468,1.01426,0.84467,0.0029,0,0.000569375,0.000569375,0.000569375
57,377.37,0.52623,0.43835,0.22852,0.00169,0.13453,0.89849,0.87745,0.90196,0.77228,0.89849,0.87745,0.90196,0.71431,0.69685,1.01806,0.85701,0.003,0,0.000557,0.000557,0.000557
58,383.612,0.51441,0.47362,0.21036,0.00158,0.13611,0.938,0.86206,0.90313,0.78194,0.938,0.86206,0.90313,0.72307,0.68335,0.99489,0.8141,0.00307,0,0.000544625,0.000544625,0.000544625
59,389.948,0.48025,0.45407,0.20946,0.00149,0.12647,0.96568,0.87093,0.91515,0.7918,0.96568,0.87093,0.91515,0.73218,0.68947,0.94067,0.70825,0.00303,0,0.00053225,0.00053225,0.00053225
60,396.202,0.46475,0.41119,0.21507,0.00142,0.13051,0.98201,0.8773,0.91671,0.79977,0.98201,0.8773,0.91671,0.73487,0.64885,0.9409,0.67517,0.00277,0,0.000519875,0.000519875,0.000519875
61,402.457,0.44274,0.42191,0.19701,0.00132,0.13553,0.97233,0.8633,0.91633,0.80845,0.97233,0.8633,0.91633,0.73303,0.64717,0.94458,0.68287,0.00262,0,0.0005075,0.0005075,0.0005075
62,408.705,0.48419,0.41992,0.20133,0.00136,0.12737,0.96044,0.87506,0.91544,0.80686,0.96044,0.87506,0.91544,0.72868,0.63716,0.96433,0.68648,0.00252,0,0.000495125,0.000495125,0.000495125
63,414.973,0.45617,0.40454,0.20523,0.00123,0.11399,0.98419,0.89059,0.91393,0.8012,0.98419,0.89059,0.91393,0.73875,0.6523,0.94309,0.66331,0.00257,0,0.00048275,0.00048275,0.00048275
64,421.239,0.42925,0.39573,0.2031,0.00119,0.11979,0.97629,0.90534,0.91399,0.7986,0.97629,0.90534,0.91399,0.73878,0.66971,0.91103,0.63656,0.00255,0,0.000470375,0.000470375,0.000470375
65,427.504,0.40491,0.38389,0.19915,0.00108,0.12202,0.97263,0.88514,0.91681,0.80717,0.97263,0.88514,0.91681,0.73818,0.6465,0.88578,0.63079,0.00236,0,0.000458,0.000458,0.000458
66,433.748,0.42986,0.37528,0.20122,0.00116,0.1185,0.97947,0.88687,0.91672,0.8138,0.97947,0.88687,0.91672,0.73862,0.63505,0.87036,0.63359,0.00222,0,0.000445625,0.000445625,0.000445625
67,441.403,0.42059,0.37309,0.17361,0.00113,0.11206,0.96958,0.87448,0.91081,0.8149,0.96958,0.87448,0.91081,0.74043,0.57752,0.8787,0.67654,0.00239,0,0.00043325,0.00043325,0.00043325
68,449.006,0.41514,0.37457,0.1956,0.00111,0.12509,0.95398,0.9125,0.91317,0.81287,0.95398,0.9125,0.91317,0.73899,0.61412,0.88185,0.65495,0.0025,0,0.000420875,0.000420875,0.000420875
69,455.307,0.42232,0.3766,0.19051,0.00123,0.1077,0.98129,0.90955,0.91386,0.81472,0.98129,0.90955,0.91386,0.72714,0.62713,0.87795,0.63473,0.00261,0,0.0004085,0.0004085,0.0004085
70,461.559,0.4146,0.41478,0.21182,0.00121,0.13211,0.9842,0.9095,0.91992,0.82304,0.9842,0.9095,0.91992,0.73485,0.60952,0.87906,0.62436,0.00238,0,0.000396125,0.000396125,0.000396125
71,469.167,0.39196,0.34519,0.18387,0.00111,0.11412,0.98508,0.90694,0.91417,0.81534,0.98508,0.90694,0.91417,0.74025,0.59943,0.8877,0.62834,0.00233,0,0.00038375,0.00038375,0.00038375
72,475.429,0.40306,0.37061,0.1731,0.00122,0.12066,0.98501,0.90657,0.92379,0.806,0.98501,0.90657,0.92379,0.75234,0.61324,0.88764,0.61722,0.00223,0,0.000371375,0.000371375,0.000371375
73,483.07,0.41601,0.37802,0.17671,0.00119,0.12643,0.98404,0.9084,0.92582,0.81463,0.98404,0.9084,0.92582,0.74849,0.63145,0.88968,0.63256,0.0025,0,0.000359,0.000359,0.000359
74,490.681,0.40183,0.36736,0.17511,0.00109,0.11354,0.98064,0.9078,0.92672,0.82396,0.98064,0.9078,0.92672,0.73962,0.62431,0.87259,0.63833,0.00259,0,0.000346625,0.000346625,0.000346625
75,498.369,0.36798,0.35296,0.16073,0.00105,0.11184,0.9592,0.91196,0.9241,0.81364,0.9592,0.91196,0.9241,0.72988,0.6379,0.83074,0.65689,0.00273,0,0.00033425,0.00033425,0.00033425
76,504.65,0.36063,0.33581,0.16762,0.00098,0.10315,0.9597,0.91043,0.9321,0.82872,0.9597,0.91043,0.9321,0.74413,0.60723,0.82989,0.65816,0.00263,0,0.000321875,0.000321875,0.000321875
77,512.28,0.36828,0.35138,0.17241,0.00099,0.11046,0.98317,0.87708,0.93187,0.82966,0.98317,0.87708,0.93187,0.75189,0.59921,0.85254,0.68098,0.00255,0,0.0003095,0.0003095,0.0003095
78,519.863,0.3553,0.32686,0.17772,0.00096,0.10342,0.98002,0.8819,0.93215,0.83545,0.98002,0.8819,0.93215,0.75201,0.59255,0.86123,0.67744,0.00259,0,0.000297125,0.000297125,0.000297125
